연번,제목,날짜,글 내용,댓글 내용
244,게이밍PC 구성좀 봐주세요 감사합니다,2024.07.01 15:23,"게이밍 와우(확팩예정), 디아4 즐겨합니다 모니터른 qhd 165 삼성(오디세이)꺼 싸게얻어서 본체도 바꾸려 합니다 180언저리 총알 있는데 구성이 괜찮은지 봐주세요 감사합니다 쿨러는 49,000원 입니다","To. 아빠스 님 안녕하세요. 견적 구성은 굉장히 잘 하셨습니다. 다만 수정할 부분이 있어서 해당 부분을 보완하시는 편을 권장드리고싶어용 마이크로닉스 ICEROCK MA-600T 라인업이 현재 듀얼타워 공냉쿨러 제품 중 준수한 성능을 가지고있으면서 현재 할인을 진행하고있다보니 구매할 메리트가 정말 커진 상황이라 기존에 구성하신 CPU쿨러로 선택하신 특별한 사유가 있거나 디자인이 마음에 드시는 경우가 아니라면 변경하여 구매하시는 쪽을 권장드립니다 DDR5 메모리 기준 EXPO / XMP 적용 없이 순정 상태로 사용하시는 경우라면 하이닉스 칩셋을 사용한 메모리가 불량률도 낮고 호환성이 좋으며 안정성도 높은 부분이라 || PM9A1의 경우 보증기간이 1~2년으로 짧아 T500으로 구성하셔서 5년 보증을 받으시는 걸 추천드립니다. 메인보드는 7950X 사용에도 전혀 문제 없고 Dr. MOS 구성에 M.2 총 3개 사용이 가능하고 AS도 좋은 ASRock B650M Pro RS 구성을 추천드립니다. 미니샵 견적달인 HPPLE 님의 견적입니다. LV. 2340 21 구매 0 0 리뷰 1728 15 견적 48 0 후기 번호 분류 상품명 수량 현금가 카드가 1 CPU AMD 라이젠5-5세대 7500F (라파엘) (멀티팩(정품)) 1 186,000원 199,250원"
245,3d 모델링 프로그램 작업용 컴퓨터를 맞추려고 합니다.,2024.07.01 15:12,호환성이나 부품 수정에서 첨삭해주실 수 있으실까요.,"To. user_975253 님 안녕하세요. 견적 구성은 굉장히 잘 하셨습니다. 다만 수정할 부분이 있어서 해당 부분을 보완하시는 편을 권장드리고싶어용 메모리 부분은 프로그램에 따라 다르겠습니다만 대부분 프로그들이 점차 필요한 메모리 용량이 커지는 추세인지라 되도록이면 32GB로 잡아 구매하시는 편을 권장드리고있습니다 그리고 메모리의 경우 사용 용도에 ""작업"" 용도로도 사용하신다면 웬만해선 순정 메모리로 구성하시는 편을 추천드립니다. DDR5 메모리 기준 EXPO / XMP 적용 없이 순정 상태로 사용하시는 경우라면 하이닉스 칩셋을 사용한 메모리가 불량률도 낮고 호환성이 좋으며 안정성도 높은 부분이라 || 14700K를 기반으로 한 작업용 견적 남겨드립니다. 14700K의 경우 Z790 메인보드 사용하셔야 안정적으로 사용 가능합니다. 미니샵 견적달인 HPPLE 님의 견적입니다. LV. 2340 21 구매 0 0 리뷰 1728 15 견적 48 0 후기 번호 분류 상품명 수량 현금가 카드가 1 CPU 인텔 코어i7-14세대 14700K (랩터레이크 리프레시) (정품) 1 577,030원 595,070원 2 메인보드 ASRock Z790 스틸레전드 WiFi D5 대원씨티에스 1 393,290원 411,860원 3 메모리 ADATA DDR5-5600 CL46-45-45 (32GB) 2 236,440원 244,740원"
246,재택용 컴퓨터 중고가격 적당한가요?,2024.07.01 15:11,"재택용으로 당근으로 구매하려 합니다 게임은 롤정도 돌릴예정입니다 씨퓨 인텔i5-7500 3.4GHz 메모리 16(8*2 삼성) 그래픽 gtx 1060 3gb 저장공간 ssd 250(삼성), hdd 500 파워 600 이렇게 25만원 적당할까요? 네고해달라고 하면 해줄거 같아서 20까지 불러볼 생각입니다",가격 보다는 PC 자체가 오래된 PC라 추천드리지 않습니다 ㅠㅠ || 가격 보다는 PC 자체가 오래된 PC라 추천드리지 않습니다 ㅠㅠ
247,컴퓨터 업글하려는데 괜찮을까요,2024.07.01 15:07,안녕하세요 거두절미하고 질문드리겠읍니다... cpu : AMD Ryzen 5 5600x GPU : GTX 3060ti -> gtx 4070ti super ! MB : MAG B550M MORTAR RAM : DDR4 8 x2 파워 마이크로닉스 750W QHD 모니터 (S27AG500) 사용중이구요 병목현상계산기 사이트가있길래 해보니까 현재 사양으로 35.8%가 나오길래 추후 cpu는 9천번대 나오면 78X3D 로 업그레이드 할 생각이었어요. 근데 업글해도 35.8% -> 25.7% 라고 뜨길래 괜찮은건지 아니면 더 바꿔야하는지 여쭤봅니다.,병목 사이트의 내용이 정확한 내용이 아닌 것 같습니다 ㅠㅠ 5600X라면 병목이 있겠지면 7800X3D라면 병목은 걱정하지 않으셔도 됩니다. || 병목 사이트의 내용이 정확한 내용이 아닌 것 같습니다 ㅠㅠ 5600X라면 병목이 있겠지면 7800X3D라면 병목은 걱정하지 않으셔도 됩니다.
248,150 정도로 올린 사진처럼 견적이 가능할까요?,2024.07.01 15:05,150만원정도로 밑에 사진처럼 견적조합이 가능할까요??,게임용도이고 완전 똑같이는 불가능하긴 하지만 비슷한 느낌으로다가 어항 케이스 + 수냉 쿨러 구성까지는 가능은 할 겁니다. 배그 기준으로 게임을 하신다 했으니 RTX 4060 Ti 구성은 되어야 FHD 해상도에서 국민옵션까지 타협을 해야 평균 프레임 기준으로 144 이상 유지가 가능 할 겁니다. 미니샵 견적달인 로비오트 님의 견적입니다. LV. 48410 440 구매 11 0 리뷰 636 5 견적 1422 12 후기 || 어떤 용도로 사용하실 PC일까요?
249,7800X3D+4070TI SUPER 견적 봐주세요,2024.07.01 15:02,견적 한번 봐주시고 호환성 여부 부탁드립니다. 보드는 블루투스가능 및 사운드가 좋아서 선택하였습니다. 이보드는 삼성램이 호환안되나요? 혹시 부족하거나 과한부분 있는지 많은 조언 부탁드립니다.,"보드 꼭 저걸로 하실거라면 그래픽카드는 MSI 슬림으로 추천드립니다. 지금 구성하신 제품은 전체 라인업 기준에서도 최하급 중 최하급 이기도 하고 가격차이도 크진 않은 부분이라 발열 제어 , 소음 억제 모든 부분에서 더 월등하게 좋을 겁니다. 그 이외 케이스의 경우 지금 구성하신 제품이 QC 이슈로 인한 공진음 및 팬 소음 이슈가 있기에 비슷한 느낌의 제품 중 팬 속도 조절이 가능하면서도 그래픽카드 지지대까지 지원하는 DK1000 로 추천드립니다. || To. 산티아고간다 님 안녕하세요. 견적 구성은 굉장히 잘 하셨습니다. 다만 수정할 부분이 있어서 해당 부분을 보완하시는 편을 권장드리고싶어용 메인보드가 PCIe 4.0을 지원하는 보드이기 때문에 PCIe 4.0 기반인 SSD를 추천드려요. PCIe 3.0과 4.0의 차이는 작업용에서는 당연히 체감이 되는 부분이라 넘어가도 되는 부분이고 게임용이시면 게임 로딩 속도에서도 체감이 되실 정도입니다. GeIL DDR5-5600 CL46 PRISTINE V (16GB) 서린 제품의 가장 큰 장점은 해당 제품에 EXPO / XMP 값이 내장되어있습니다 해당 메모리를 장착했을 때 바이오스 버전에 따라서 4800 / 5200클럭으로 동작하는 경우가 많은데 그 때 바이오스 버전과 관계없이 5600클럭으로 적용해서 사용이 가능한 이점이 있습니다! 그렇다보니 해당 모델을 자주 추천드리고있구용"
250,군대 전역컴 견적짜봤는데 봐주실수있나요,2024.07.01 15:01,게임위주로 할것같고 엘든링같은 aaa급 게임까지 문제 없이 플레이하고싶습니다.,"사용중이신 모니터의 해상도가 어떻게 되실까요? || 삼성전자 메모리 호환성 이슈가 있어 마이크론 메모리 추천드리며 몇몇 부품을 변경하여 조금 더 가성비가 우수한 견적 남겨드립니다. 미니샵 견적달인 HPPLE 님의 견적입니다. LV. 2340 21 구매 0 0 리뷰 1728 15 견적 48 0 후기 번호 분류 상품명 수량 현금가 카드가 1 CPU AMD 라이젠7-5세대 7800X3D (라파엘) (정품) 1 540,720원 556,700원 2 메인보드 ASRock B650M Pro RS 대원씨티에스 1 170,000원 180,100원 3 메모리 마이크론 Crucial DDR5-5600 CL46 PRO 패키지 대원씨티에스 (32GB(16Gx2)) 1 115,000원 122,200원"
251,공량 수냉 차이점,2024.07.01 15:00,지금 공랭쿨러 사서 쓰고 있는데 수냉 쿨러 달면 좋은점이 있나요? 아님 굳이 안바꿔도 되나요? 그리고 수냉쿨러가 씨퓨밖에 없던데 글픽은 따로 없나요?,"쿨링 방식의 차이로 수냉쿨러(3열)가 듀얼타워 공냉쿨러보다 쿨링능력이 더 좋습니다! CPU가 전력소모량이 크다면 발열량도 커지기에 듀얼타워 공냉쿨러로 쿨링이 불가능한 경우가 있어, 수냉쿨러를 사용 합니다! 지금 사용중이신 CPU는 어떤 CPU일까요? || 수냉이 공랭보다 온도를 잘잡아줍니다. 그래픽 카드도 수냉이 있을거에요."
252,군대 전역컴 견적!,2024.07.01 14:57,"듀얼모니터(qhd)로 메인 모니터로 사펑같은 고사양 게임을, 보조 모니터로는 유튜브 시청이나 디스코드를 할 예정입니다 어떤 게임이던 간에 풀옵션으로 원할하게 하려고 하는데 아래 견적이면 어떤가요? 피드백 부탁드립니다",안녕하세요 퀘이사존 공식후원사 피씨팩토리입니다. 견적서 및 답변내용은 v 펼치기를 통해 확인할 수 있습니다. ----------------------- 답변내용 ------------------------ * QHD 해상도라면 4080 SUPER 정도로 구성을 하시면 풀옵션으로 게임 전부 가능합니다 ^^ 게임용 구성이라면 현재 이슈가 많은 인텔 제품 구성보다 AMD 라이젠 제품이 게임에서 프레임도 높고 구성 가격대도 저렴하기 때문에 추천드립니다 ^^ || To. 종이2 님 안녕하세요. 견적 구성은 굉장히 잘 하셨습니다. 다만 수정할 부분이 있어서 해당 부분을 보완하시는 편을 권장드리고싶어용 비슷한 금액대에서 더 좋고 안정적인 제품으로 살짝 수정하시는 편을 추천드리다보니 제품 일부분을 약간 변경하였습니다! CPU의 발열이 낮은 모델이 아닌지라 더욱 안정적인 사용을 위해서라도 CPU 쿨러의 체급을 더 높여 구성하시는 편을 적극 추천드립니다! 메모리 부분은 게이밍 프레임 향상을 위해 EXPO / XMP 튜닝램으로 구매하시는 경우라면 6000클럭 이상 제품 기준 SK 하이닉스 칩셋을 이용한 제품으로 추천드립니다
253,견적 및 호환 문의드립니다,2024.07.01 14:51,"10년 이상 게임 및 공부 용도로 사용할 생각이기 때문에 조금 총알을 많이 써보려 합니다. 호환이 잘 맞는지, 조금 더 싸게 가능한지 확인 부탁드립니다^^ 답변 미리 감사드립니다~","7950x라면 3열 수냉쿨러로 구성해주시길 권장드립니다 ㅠㅠ 메모리는 ddr5시스템에서는 삼성칩셋의 메모리 보다는 sk하이닉스 칩셋을 추천드리구요! sk하이닉스 뿐만 아니라 팀그룹, 패트리어트 등의 제조사에서도 sk하이닉스 칩셋을 사용하기에 금액적인 부담은 없을 것 같습니다! 이외에도 SSD는 삼성 SSD가 비싸 비슷한 사양의 제품으로 변경, 케이스도 번들팬이 조금 더 준수한 케이스로 변경하여 건적서를 드리도록 하겠습니다. -------------------- 아래 카카오톡 채널으로 문의를 남겨주시면 더 자세하게 견적상담을 드리도록 하겠습니다! 카카오채널: https://pf.kakao.com/_ErDGxj / 웹사이트 : 08dragon.com || 7950X의 경우 수냉쿨러 사용이 권장됩니다. 그리고 메인보드는 7950X 사용에도 전혀 문제 없고 Dr. MOS 구성에 M.2 총 3개 사용이 가능하고 AS도 좋은 ASRock B650M Pro RS WiFi로 구성을 추천드립니다. 삼성전자 메모리 호환성 이슈가 있어 마이크론 5600 메모리로 변경을 추천드립니다. 미니샵 견적달인 HPPLE 님의 견적입니다. LV. 2340 21 구매 0 0 리뷰 1728 15 견적 48 0 후기 번호 분류 상품명 수량 현금가 카드가 1 CPU AMD 라이젠9-5세대 7950X (라파엘) (멀티팩(정품)) 1 735,400원 750,700원"
254,조립컴 견적 질문드립니다 [공랭],2024.07.01 14:35,아래 구성으로 하려고 하는데 어떤가요 하는게임 검사 로아 배그 롤 명조 앱플레이어 프로그램,"현재 보유중이신 부품이 있으실까요? || To. 컴퓨터없인못살아 님 안녕하세요. 견적 구성은 굉장히 잘 하셨습니다. 다만 수정할 부분이 있어서 해당 부분을 보완하시는 편을 권장드리고싶어용 화이트 감성에 잘 어울릴 수 있도록 일부 부품을 화이트 제품으로 약간 수정하였습니다 구매에 참고해주시구요, 비슷한 금액대에서 더 좋고 안정적인 제품으로 살짝 수정하시는 편을 추천드리다보니 제품 일부분을 약간 변경하였습니다! 단순 게임용으로 구성하신다고 하셨을 때 라이젠 5800X3D 제품보다 라이젠 7800X3D 제품을 구성하시는 쪽이 성능이 더 좋아서 변경 하시는 편을 적극 추천드립니다. CPU의 발열이 낮은 모델이 아닌지라 더욱 안정적인 사용을 위해서라도 CPU 쿨러의 체급을 더 높여 구성하시는 편을 적극 추천드립니다!"
255,컴린이 첫 조립 견적 질문있습니당,2024.07.01 14:29,안녕하세요 이번에 부품들 하나하나 모아서 7500f+4060으로 견적 맞춰봤는데 문제되는 부분 있는지 알려주시면 감사하겠습니다!,안녕하세요 퀘이사존 공식후원사 피씨팩토리입니다. 견적서 및 답변내용은 v 펼치기를 통해 확인할 수 있습니다. ----------------------- 답변내용 ------------------------ * 게임용으로 사용하신다면 AMD 라이젠 7500F + RTX 4060 TI로 구성을 해주시는게 좋을 듯 하고 데이터 용량을 많이 사용하시는게 아니라면 2TB 정도로 구성을 해주시는게 좋을 듯 합니다 ^^ 다른 궁금하신 점은 아래 실시간 카카오톡 상담을 통해 진행하시면 빠른 상담이 가능하고 구매나 부품 수정을 원할 경우 빨간색 구매하기 버튼을 통해 진행 가능합니다. || 이게 어떤 용도이실까요?
256,7950 / 7800 견적 문의,2024.07.01 14:27,1. 7950x / 4060 Ti / 윈도우 포함 / 화이트 2. 7800x3d / 4070 Ti super / 윈도우 포함 / 화이트 3D 모델링/ 렌더링용인데 예산이 300 이하라 cpu랑 gpu 둘 중 하나만 높여야 할 것 같습니다 어떤게 더 효율적일지 견적 부탁드립니다.,어떤 프로그렘을 주로 사용하실까요? || 안녕하세요 퀘이사존 공식후원사 피씨팩토리입니다. 견적서 및 답변내용은 v 펼치기를 통해 확인할 수 있습니다. ----------------------- 답변내용 ------------------------ * 3D 모델링 작업용 이라면 7950X로 구성을 해주시는게 좋을 듯 하며 7800X3D 제품은 게임용 CPU제품이라 7900과 비교를 해주시는게 맞습니다^^ 다른 궁금하신 점은 아래 실시간 카카오톡 상담을 통해 진행하시면 빠른 상담이 가능하고 구매나 부품 수정을 원할 경우 빨간색 구매하기 버튼을 통해 진행 가능합니다.
257,7800x3d 4070ti super 견적,2024.07.01 14:26,안녕하세요 이번에 견적뽑았는데요 유튜브에서 m사이즈 메인보드는 대장급 공랭쓰면 간섭있다고해서요 사용못하나요?? 그리고 혹시 조합 추천해주실만한거있으면 부탁드립니다,"안녕하세요 퀘이사존 공식후원사 피씨팩토리입니다. 견적서 및 답변내용은 v 펼치기를 통해 확인할 수 있습니다. ----------------------- 답변내용 ------------------------ * AMD 라이젠 7800X3D + RTX 4070 TI SUPER 로 구성을 해주시는거라면 내릴부분을 조금 내려서 가성비 제품 구성을 하시면 조금 더 저렴하게 가능해보입니다 ^^ 다른 궁금하신 점은 아래 실시간 카카오톡 상담을 통해 진행하시면 빠른 상담이 가능하고 구매나 부품 수정을 원할 경우 빨간색 구매하기 버튼을 통해 진행 가능합니다. || 메인보드는 7950X 사용에도 전혀 문제 없고 Dr. MOS 구성에 M.2 총 3개 사용이 가능하고 AS도 좋은 ASRock B650M Pro RS 구성을 추천드립니다. 고르신 메인보드보다 더 나은 스펙을 가지고 있습니다. PCI-E 3.0 방식의 P31이 아닌, PCI-E 4.0 방식의 T500으로 구입을 추천드립니다. 속도가 2배 가량 차이납니다. 그래픽카드는 3+2년을 지원하며 AS가 매우 좋은 ZOTAC 제품으로 구성해보았습니다. 미니샵 견적달인 HPPLE 님의 견적입니다. LV. 2340 21 구매 0 0 리뷰 1728 15 견적 48 0 후기"
