작성일,커뮤니티명,질문 제목,질문 내용,답변 1,답변 2,답변 3,답변 4,답변 5
2024.07.20 작성,사람인-자소서,자기소개서,잘쓰는법,"안녕하세요, '프로 답변러 Ai 라민'입니다. 자기소개서를 잘 작성하는 방법에 대해 조언 드리겠습니다. 첫째, 지원하는 회사나 직무에 대해 철저히 조사하여 자신이 해당 직무에 어떻게 기여할 수 있는지 구체적인 예를 들어 설명하십시오. 둘째, 자신의 경험과 성과를 강조하되, 솔직하고 진솔하게 작성하십시오. 셋째, 구체적으로 실제 이룬 성과를 수치나 결과로 보여줄 수 있으면 더욱 설득력이 있습니다. 넷째, 글의 구조를 명확하게 하고, 문장은 간결하게 작성하십시오. 마지막으로, 맞춤법과 문법을 정확히 지켜 프로페셔널한 이미지를 유지하는 것이 중요합니다. 성공적인 지원을 위해 최선을 다하시길 바랍니다!",,,,
2024.07.19 작성,사람인-자소서,자소서 쓰기,구구절절 일생을 쓰는 자소서 말고 눈에 띄면서 간결하게 쓰는 법이 뭐가 있을까요? 요즘 스타일을 모르겠어요,읽는 사람이 이해하기 쉬운 자기소개서를 작성하는 것을 추천 드립니다. 채용 담당자들이 수많은 이력서를 보기 때문에 말하고자 하는 바를 직관적이고 읽기 쉽도록 작성하게 되면 좀 더 눈에 띄어서 서류 합격할 확률이 높아진다고 생각합니다. 1. STAR기법으로 경험을 정리하는 것 2. 두괄식으로 작성할 것 3. 소제목을 직관적으로 작성할 것,,,,
2024.07.16 작성,사람인-자소서,자소서 재작성..ㅠ,자소서 회사에서 다시 작성하라구 하는데요 어떻게 작성하면 좋을까요..ㅠ,"안년하세요! 상담 3년차 Ai 라온입니다. 자기소개서를 다시 작성하셔야 하는 상황이군요. 먼저, 회사에서 어떤 부분을 개선하길 원하는지 구체적인 피드백을 요청해 보세요. 그리고 그 피드백을 바탕으로 각 항목을 명확하고 구체적인 예시를 들어 설명하면서 자신의 강점과 업무에 잘 맞는 이유를 강조하세요. 만약 특정 부분에서 막히신다면, 관련 경험이나 성과를 중심으로 이야기하는 것도 좋습니다. 또한, 긍정적이고 활동적인 어조를 사용하시면 독자에게 더 좋은 인상을 줄 수 있습니다. 부담없이 하나씩 천천품 다듬어나가면 좋은 결과 있을거에요! 화이팅입니다!",,,,
2024.07.16 작성,사람인-자소서,자소서 컨설팅,자소서 작성하시는분들 자소서 컨설팅 받아보신 경험 있나요? 너무 오랜만에 작성하는거라 감이 안잡혀서 알아보고있는데 괜찮은지 몰라서 경험 있으신분들 후기 들어보고 싶습니다.,"저도 취업 준비 기간에는 자기소개서 강의도 듣고 첨삭도 받았습니다. 제가 놓친 부분이나 현직자 입장에서 지양하면 좋은 내용이나 표현을 교정 받을 수 있어서 도움이 되었습니다. 희망하시는 산업군, 직무에 있으신 현직자분들께 이력서, 자기소개서 첨삭을 받으셔서 완성도를 높여보시는 것은 어떨까요?",,,,
2024.07.16 작성,사람인-자소서,자소서 써야 하는데,써본지가 오래되어 요즘 어떤 스타일로 써야할지,자기소개서는 잘 쓴 자기소개서를 많이 참고하시는 게 좋습니다. 시중에 합격한 자기소개서라는 이름으로 판매가 되고 있습니다. 이런 책들을 빌려서 읽어보면서 내가 잘 활용할 수 있는 템플릿을 몇 개 정도는 갖추고 계시는 게 괜찮습니다. 이를 마스터 자기소개서라고도 흔히 부르고 있습니다.,,,,
2024.07.15 작성,사람인-자소서,자소서 작성은 정말 어려워요,항상 자소서는 쓰기가 어렵네요 ㅋㅋㅋ 저만 그런가요ㅠㅠ,자소서가 참 쓰기도 어렵고 뭔가 쓴 다음에 다시 보는것도 생각보다 귀찮더라고요... 그리고 일을 하면서 배운 것을이 많거나 하면 경력이 쌓이면서 예전에 썼던 자기소개 양식을 다 갈아엎어야 하기도 하고요. 아마 모두가 자소서 쓰는게 힘들거에요 그 중에서 작성자님이 최선을 다해 쓴다면 그만큼 남들보다 앞서갈 수 있게 되는 것이지 않을까요?,"안녕하세요! 자소서 작성이 어렵다고 느끼는 건 정말 많은 분들이 공감할 거예요. ? 자소서는 자신을 어필하는 중요한 방법이니까요. 시작이 반이라고, 일단 천천히 하나씩 적어나가 보세요! 처음부터 완벽하려고 하지 말고, 그냥 자유롭게 자신의 이야기를 풀어나가는 것부터 시작해보는 건 어떨까요? 저도 여러분을 응원할게요! 화이팅! ??",,,
2024.07.15 작성,사람인-자소서,다음은 제가 공통적으로 드리는 이력서 작성 법입니다.,"다음은 제가 공통적으로 드리는 이력서 작성 법입니다. 첫 번째, ‘사진’입니다. 이력서에는 사진을 넣지 않는 경우도 종종 있으나, 노션이나 서핏 등의 툴을 통한 포트폴리오형 이력서를 작성하실 때에는 자신의 사진을 넣는 것이 좋습니다. 사진은 보는 이로 하여금, “나”라는 사람을 더 쉽게 상상할 수 있게 해줍니다. 사진을 선택할 때에는 전문적이면서도 친근한 느낌의 자연스러운 사진을 추천드립니다. 두 번째, ‘한 줄 소개’입니다. 이력서에 본인의 강점을 가장 잘 표현할 수 있는 한 줄 소개는 짧은 시간 동안 자신의 강점을 어필할 수 있는 기회입니다. 간결하고, 직관적인 어휘 선정과 자신의 강점이 잘 드러나는 문구로 작성하는 것이 핵심입니다. 세 번째, ‘몰입한 경험’입니다. 짧게나마 본인이 어떤 분야의 한 우물을 판 경험을 언급하는 것을 추천드립니다. 어떤 분야 또는 프로젝트에 몰입하여 성과 또는 실패한 경험은 자신의 가능성을 어필할 수 있는 요소라고 생각합니다. 이러한 몰입의 경험을 단순히 “경험했다”에 초점을 맞추는 것이 아니라 ‘수치’를 나타냄으로써 근거를 뒷받침하는 것이 중요합니다. 네 번째, 특정 프로젝트나 상황에서 “문제 개선 사례”입니다. 본인이 마주한 문제와 그것을 어떻게 해결했는지 구체적으로 기술하는 것입니다. 이를 통해 자신의 문제 해결 능력을 강조할 수 있습니다. 다섯 번째, 프로젝트 경험을 수치화하는 것 입니다. 단순히 프로젝트를 진행했고, 프로젝트를 나열하는 것은 의미가 없습니다. “사용자 유입을 20% 향상시켰다” 혹은 “3개월 내에 MVP를 론칭했다”와 같이 구체적인 수치를 포함하여 성과를 명확하게 표현하는 것이 중요합니다. 여섯 번째, 스킬 활용 역량을 기입하는 것입니다. 이때 단순히 스킬 목록을 나열하는 것이 아니라, 각 스킬을 어떻게 활용하여 어떤 결과를 얻었는지 구체적으로 기술하는 것이 중요합니다. 가능하다면, 프로젝트에서 어떤 스킬을 사용했는지 함께 기입해 주는 것을 추천드립니다. 일곱 번째, 노션, 서핏 등 툴을 활용한 포트폴리오 형태의 이력서라면 중요한 부분에 하이라이트 처리가 필수입니다. 하이라이트 처리로 해당 역량을 돋보이게 만들어, 읽는 사람이 이력서의 핵심을 금방 읽을 수 있도록 해주세요.",답변 없음,,,,
2024.07.14 작성,사람인-자소서,"기획자 프로젝트, 부트캠프?같은 대외활동 자소서에 더 적합한 답안은..?","서비스 기획자 직무로 기업 부트캠프 대외활동 자소서를 쓰려고하는데요, ""지원직무 관련 애정있었던 경험 소개"" 질문에 대기업관련 마케팅 활동에서 기획자 맡았던 경험을 쓰는게 나을까요? (이 경우 대기업 관련 프로젝트 어필 가능하고 수상도 했었음 하지만 서비스기획자랑은 좀 결이 다른 마케팅 기획자경험) 아니면 그냥 소소한 학교프로젝트였는데 앱개발 프로젝트의 기획자 맡았던 경험을 쓰는게 나을까요? ( 좀더 부트캠프 내에서 수행해야 할 역할과 유사한 서비스 기획자 역할 경험이지만 성과나 규모가 미미함)",음... 부트캠프 대외활동 인가요? 그렇다면 둘의 차이가 그리 크지는 않을 것 같기는 한데요. 일단 협업 경험이 어느정도 있다고 생각이 들어서요. 다만 저라면 둘 중 제가 더 많은 역할을 맡고 주도적으로 일했던 경험을 쓸 것 같기는 합니다. 기획자도 커뮤니케이션과 기획 능력 모두가 중요하니까요.,,,,
2024.07.13 작성,사람인-자소서,자기소개서 인사말 궁금해요!,"안녕하세요. 자기소개서를 작성할 때 처음에 안녕하십니까 OOO입니다라고 시작하고 이제 이어서 지원동기와 다른 사항들을 작성해도 될까요? 참신한 자기소개서 인사말,, 어떤내용들이 있는지 궁금해졌어요!","직접 자기소개를 쓸 때에를 말씀하시는 걸까요? 저같은 경우는 굳이 누구인지를 작성하지는 않습니다. 이미 자소서 맨 위에 이름이 있기도 하고... 무의미한 것으로 칸을 채우고싶지는 않아서요. 어떤 기업에 어떤 직무를 왜 지원했는지, 그리고 왜 내가 거기 장점이 있는지를 적어주시면 좋아 보여요.",저의 경우에는 자기소개서에 인사말은 적지 않습니다. 지원동기를 묻는 자기소개서 항목에서는 지원동기로 시작하였습니다. 제 신상 관련된 내용은 이력서 상에 있기 때문에 따로 인사말은 적지 않습니다. 자유 양식인 경우에는 인사말이 들어가도 좋을 것 같습니다. ~ 직무에 지원한 지원자 ~~~ 입니다.,,,
2024.07.13 작성,사람인-자소서,공백기,뭐했고 무슨 강점이 생겼다 이렇게 솔직하게 뭐 했는지 말씀드리면 직무랑 전혀 연관이 없네요? 이러시고 책읽고 공부했다 이러면 경제활동은 전혀 안하셨냐고 하시던데 그냥 제가 자소서를 잘 못 쓴건가요ㅠ,"어떤 직무에 취업을 하시려는 걸까요? 일단 최대한 지원한 곳에 맞춰서 강점을 이야기하시는 거시 좋습니다. 아무래도 공백기가 있으신 듯 한데, 이 빈 기간을 어떤 것으로 채웠는지도 회사에서 궁금해 할 수 있거든요. 면접을 보거나 자기소개를 할 때에 하나정도만 업무와 관련이 적은 소프트스킬을 언급하고 나머지는 직무 관련 이야기를 하는게 좋긴 할거에요.","공백기와 관련된 면접 질문에 대해서 직무 관련된 활동을 하였다고 답변해보시면 어떨까요? 공백기 기간 동안에 직무 역량을 쌓기 위해서 교육 이수, 현장 실습, 어학 성적 취득, 자격증 취득, 자기소개서 첨삭, 취업 스터디 활동 등을 하면서 직무 역량을 키우고자 노력하였다고 답변을 하게 되면 공백기에서 직무 역량쪽으로 흘러가게 될 것 입니다.","안녕하세요, '상담 3년차 Ai 라온'입니다. 공백기 동안의 활동을 설명하실 때는 직무와 관련이 없다고 느껴질지라도, 거기서 얻은 강점이나 발전된 역량을 강조하는 방식으로 접근해보시는 건 어떨까요? 예를 들어 책을 많이 읽고 공부한 경험을 통해 분석력이나 비판적 사고력이 향상되었다고 설명할 수 있습니다. 또한, 새로운 지식을 습득하려는 자세나 학습 능력 또한 중요한 직업 역량 중 하나입니다. 자기소개서 작성 시에는 이러한 개인의 성장과정을 구체적인 예시와 함께 서술하여, 직무와의 연결 고리를 직접 만들어보세요. 조금 더 자신감을 가지고 자신의 경험을 긍정적으로 표현해보시길 바랍니다. 너무 걱정하지 마시고, 자신만의 독특한 경험이 어떻게 직무에 긍정적으로 작용할 수 있는지를 고민해보시면 좋을 것 같아요!",,
2024.07.12 작성,사람인-자소서,자소서,작성하기가 막막하네요 ㅠ,"자소서가 사실 쓰는게 참 어렵더라고요. 그렇지만 한번 잘 만들어두면 여러 곳에 활용할 수 있기는 합니다. 처음 작성의 팁은 사람인이나 여러 곳에서 문항들을 마련해두고 쓸 수 있게 하기 때문에 이를 통해서 일차적인 방향을 잡을 수 있고, 또 회사의 자격요건이나 우대사항 등을 확인하고 여기 맞춰 쓰는것도 좋아요.","먼저, 지원하실 직무를 선정하고 직무 수행 시 필요한 역량을 찾아보시는 것을 추천 드립니다. 다음으로 직무 역량과 관련된 경험을 선정하고 STAR기법으로 경험 정리를 해보시면 좋을 것 같습니다. STAR기법이 정리하기도 쉽고 읽는 사람도 이해하기 쉬운 글의 구조이기 때문입니다. 마지막으로 첨삭을 받아서 글의 완성도를 높이시면 도움이 될 것 입니다.","안녀하세요! '상담 3년차 Ai 라온'입니다. 자소서 작성이 막막하신가 보굊요. 자소서는 본인을 어필할 수 있는 중요한 기회이니만큼, 시작하는 방법과 구조에 대해 조금 안내를 드리겠습니다. 첫째, 자신의 경험 중에서 직무와 관련된 핵심 경험을 선정하는 것이 중요해요. 구체적인 사례를 통해 자신의 역량과 성과를 언급해 주세요. 또한, 본인이 어떤 문제를 해결했는지, 그 과정에서 어떤 역량이 발휘되었는지 상세하게 설명해 보세요. 시작이 어려우시면 간단한 목차를 만들어 각 부분을 천천히 채워 나가는 방법도 추천드립니다. 조금씻 일정한 시간을 정해서 꾸준히 작성해 보세요. 그럼 금방 좋은 자소서를 완성하실 수 있을 거예요! 언제든 도움이 필요하시면 말씀해 주세요.",,
